420,87,20167
420,88,20167
420,89,20167
420,90,20119
421,88,20151
421,89,20121
421,90,20163
422,86,20115
422,87,20141
422,88,20160
422,89,20125
422,90,20160
423,87,20147
423,88,20126
423,89,20224
423,90,20224
424,20,66340
424,21,66800
424,24,66230
424,25,66230
424,26,66260
424,87,20245
424,88,20245
424,89,20245
424,90,20276
425,18,66760
425,19,66760
425,20,66120
425,21,66210
425,22,66360
425,23,66360
425,24,66820
425,25,66150
425,26,66110
425,27,66400
425,28,66490
425,29,66740
425,30,66690
425,31,66660
425,87,20214
425,88,20214
425,89,20214
425,90,20259
426,18,09390
426,19,66760
426,20,66210
426,21,66210
426,22,66360
426,23,66500
426,24,66500
426,25,66320
426,26,66130
426,27,66300
426,28,66300
426,29,66670
426,30,66200
426,89,20220
426,90,20226
427,0,65120
427,3,65170
427,4,65510
427,5,31110
427,14,09220
427,15,09220
427,16,09310
427,17,09310
427,18,09110
427,19,09110
427,20,09460
427,21,09460
427,22,11140
427,23,66500
427,24,66730
427,25,66130
427,26,66130
427,27,66170
427,28,66610
427,29,66000
427,30,66140
428,-2,65110
428,-1,65110
428,0,65120
428,1,65120
428,2,65170
428,3,65170
428,4,65240
428,5,31110
428,6,31110
428,10,09800
428,11,09140
428,12,09140
428,13,09140
428,14,09320
428,15,09220
428,16,09400
428,17,09310
428,18,09250
428,19,09110
428,20,11140
428,21,11140
428,22,11140
428,23,11140
428,24,66220
428,25,66220
428,26,66460
428,27,66720
428,28,66600
428,29,66600
428,30,66250
429,-7,64490
429,-6,64490
429,-5,64490
429,-4,64440
429,-3,65400
429,-2,65400
429,-1,65110
429,0,65120
429,1,65120
429,2,65200
429,3,65440
429,4,65240
429,5,65370
429,6,31440
429,7,31440
429,8,31440
429,9,09800
429,10,09800
429,11,09200
429,12,09140
429,13,09320
429,14,09320
429,15,09400
429,16,09000
429,17,09300
429,18,09300
429,19,09300
429,20,11230
429,21,11500
429,22,11500
429,23,11190
429,24,11190
429,25,11330
429,26,11330
429,27,11350
429,28,11350
429,29,11510
429,30,11510
430,-10,64560
430,-9,64560
430,-8,64560
430,-7,64490
430,-6,64490
430,-5,64490
430,-4,64440
430,-3,64440
430,-2,65400
430,-1,65400
430,0,65100
430,1,65200
430,2,65710
430,3,65130
430,4,65250
430,5,65150
430,6,65370
430,7,31510
430,8,31160
430,9,31160
430,10,31260
430,11,09160
430,12,09200
430,13,09420
430,14,09240
430,15,09240
430,16,09000
430,17,09120
430,18,09600
430,19,09600
430,20,11230
430,21,11300
430,22,11300
430,23,11580
430,24,11580
430,25,11330
430,26,11330
430,27,11360
430,28,11360
430,29,11540
430,30,11130
430,62,83400
430,64,83400
431,-14,64430
431,-12,64220
431,-11,64220
431,-10,64130
431,-9,64470
431,-8,64470
431,-7,64570
431,-6,64660
431,-5,64260
431,-4,64260
431,-3,64800
431,-2,64800
431,-1,65100
431,0,65100
431,1,65200
431,2,65200
431,3,65130
431,4,65300
431,5,65150
431,6,31210
431,7,31800
431,8,31800
431,9,31260
431,10,09160
431,11,09230
431,12,09230
431,13,09350
431,14,09350
431,15,09100
431,16,09100
431,17,09100
431,18,09500
431,19,09500
431,20,11240
431,21,11240
431,22,11300
431,23,11250
431,24,11250
431,25,11220
431,26,11220
431,27,11220
431,28,11200
431,29,11440
431,30,11100
431,31,11430
431,59,83500
431,61,83320
432,-13,64220
432,-12,64220
432,-11,64120
432,-10,64130
432,-9,64130
432,-8,64130
432,-7,64400
432,-6,64400
432,-5,64290
432,-4,64290
432,-3,64800
432,-2,64800
432,-1,64530
432,0,65380
432,1,65430
432,2,65190
432,3,65190
432,4,65330
432,5,65670
432,6,31580
432,7,31350
432,8,31420
432,9,31420
432,10,31220
432,11,31220
432,12,31310
432,13,31310
432,14,09130
432,15,09700
432,16,09700
432,17,09270
432,18,11420
432,19,11270
432,20,11270
432,21,11290
432,22,11290
432,23,11000
432,24,11000
432,25,11800
432,26,11700
432,27,11700
432,28,11200
432,29,11200
432,30,11100
432,31,11110
432,32,11560
432,55,13009
432,56,13600
432,57,83740
432,58,83330
432,59,83330
432,60,83210
432,61,83260
432,62,83250
432,63,83250
432,64,83230
432,65,83310
432,66,83420
433,-16,64310
433,-15,64250
433,-14,64250
433,-13,64240
433,-12,64640
433,-11,64120
433,-10,64120
433,-9,64130
433,-8,64190
433,-7,64190
433,-6,64360
433,-5,64230
433,-4,64140
433,-3,64320
433,-2,64420
433,-1,65320
433,0,65320
433,1,65390
433,2,65350
433,3,65220
433,4,65220
433,5,65230
433,6,65230
433,7,31350
433,8,31230
433,9,31230
433,10,31430
433,11,31430
433,12,31390
433,13,31410
433,14,31190
433,15,31550
433,16,31560
433,17,31560
433,18,11410
433,19,11400
433,20,11400
433,21,11150
433,22,11170
433,23,11600
433,24,11600
433,25,11800
433,26,11160
433,27,11700
433,28,34210
433,29,11120
433,30,11590
433,31,34310
433,32,34500
433,33,34420
433,34,34450
433,35,34300
433,54,13004
433,55,13011
433,56,13400
433,57,13780
433,58,83870
433,59,83870
433,60,83136
433,61,83136
433,62,83660
433,63,83590
433,64,83340
433,65,83680
433,66,83310
434,-16,64500
434,-15,64480
434,-14,64480
434,-13,64240
434,-12,64240
434,-11,64120
434,-10,64390
434,-9,64390
434,-8,64190
434,-7,64150
434,-6,64150
434,-5,64170
434,-4,64230
434,-3,64160
434,-2,64160
434,-1,64350
434,0,65500
434,1,65140
434,2,32730
434,3,32170
434,4,32300
434,5,32300
434,6,32140
434,7,32420
434,8,31230
434,9,31230
434,10,31370
434,11,31370
434,12,31370
434,13,31410
434,14,31870
434,15,31190
434,16,31450
434,17,31290
434,18,31290
434,19,31540
434,20,11400
434,21,81540
434,22,81110
434,23,11390
434,24,11380
434,25,11160
434,26,34210
434,27,34220
434,28,34360
434,29,34360
434,30,34360
434,31,34370
434,32,34490
434,33,34290
434,34,34630
434,35,34810
434,36,34140
434,37,34200
434,46,13129
434,47,13129
434,48,13230
434,51,13220
434,52,13700
434,53,13170
434,54,13109
434,55,13105
434,56,13720
434,57,83640
434,58,83860
434,59,83170
434,60,83170
434,61,83170
434,62,83340
434,63,83340
434,64,83550
434,65,83550
434,66,83120
434,67,83520
435,-15,64600
435,-14,40390
435,-13,64240
435,-12,64520
435,-11,64520
435,-10,64270
435,-9,64270
435,-8,64300
435,-7,64300
435,-6,64370
435,-5,64410
435,-4,64410
435,-3,64330
435,-2,64350
435,-1,64350
435,0,65700
435,1,65700
435,2,32230
435,3,32300
435,4,32300
435,5,32300
435,6,32260
435,7,32450
435,8,32220
435,9,32130
435,10,32130
435,11,31470
435,12,31470
435,13,31600
435,14,31120
435,15,31320
435,16,31450
435,17,31460
435,18,31460
435,19,31540
435,20,81700
435,21,81110
435,22,81290
435,23,81290
435,24,81660
435,25,81240
435,26,81260
435,27,34220
435,28,34220
435,29,34360
435,30,34460
435,31,34490
435,32,34480
435,33,34320
435,34,34720
435,35,34530
435,36,34560
435,37,34560
435,38,34110
435,42,30240
435,43,13460
435,44,13460
435,45,13460
435,46,13460
435,47,13200
435,48,13104
435,49,13270
435,52,13340
435,53,13290
435,54,13290
435,55,13590
435,56,13790
435,57,13114
435,58,83470
435,59,83470
435,60,83670
435,61,83570
435,62,83570
435,63,83510
435,64,83510
435,65,83720
435,66,83490
435,67,83480
435,68,83600
435,69,06210
436,-14,40530
436,-13,40230
436,-12,40300
436,-11,40300
436,-10,40350
436,-9,40290
436,-8,40330
436,-7,40330
436,-6,40700
436,-5,40700
436,-4,40320
436,-3,40320
436,-2,32400
436,-1,32400
436,0,32160
436,1,32160
436,2,32230
436,3,32320
436,4,32300
436,6,32550
436,7,32450
436,8,32200
436,9,32200
436,10,32490
